trait	latitude	longitude
LASV|NGA|2019|IRR_0023|2019-01-26	7.19744	5.58653
LASV|NGA|2019|IRR_0024|2019-01-27	6.333333	5.622222
LASV|NGA|2019|IRR_0025|2019-02-02	6.738429	6.221953
LASV|NGA|2019|IRR_0026|2019-02-02	7.19744	5.58653
LASV|NGA|2019|IRR_0028|2019-01-25	7.19744	5.58653
LASV|NGA|2019|IRR_0049|2019-01-04	7.083333	6.283333
LASV|NGA|2019|IRR_0050|2019-01-16	7.083333	6.283333
LASV|NGA|2019|IRR_0053|2019-01-23	7.19744	5.58653
LASV|NGA|2019|IRR_0055|2019-01-24	7.083333	6.283333
LASV|NGA|2019|IRR_0057|2019-01-29	7.19744	5.58653
LASV|NGA|2019|IRR_0059|2019-02-17	6.738429	6.221953
LASV|NGA|2019|IRR_0060|2019-02-06	7.066667	6.266667
LASV|NGA|2019|IRR_0062|2019-02-12	7.19744	5.58653
LASV|NGA|2019|IRR_0064|2019-01-03	6.659722	6.382222
LASV|NGA|2019|IRR_0065|2019-01-02	6.784077	5.589279
LASV|NGA|2019|IRR_0067|2019-02-08	7.066667	6.266667
LASV|NGA|2019|IRR_0068|2019-01-08	6.850844	5.777564
LASV|NGA|2019|IRR_0070|2019-02-08	7.336619	9.002272
LASV|NGA|2019|IRR_0071|2019-01-07	6.75	6.133333
LASV|NGA|2019|IRR_0073|2019-01-21	7.066667	6.266667
LASV|NGA|2019|IRR_0074|2019-01-31	6.678119	3.51526
LASV|NGA|2019|IRR_0075|2019-02-15	7.066667	6.266667
LASV|NGA|2019|IRR_0076|2019-02-05	7.19744	5.58653
LASV|NGA|2019|IRR_0077|2019-01-19	6.733367	5.401827
LASV|NGA|2019|IRR_0079|2019-02-04	7.066667	6.266667
LASV|NGA|2019|IRR_0080|2019-01-17	6.712259	6.329005
LASV|NGA|2019|IRR_0081|2019-02-03	6.712259	6.329005
LASV|NGA|2019|IRR_0082|2019-01-17	7.525829	5.762072
LASV|NGA|2019|IRR_0083|2019-01-11	6.75	6.133333
LASV|NGA|2019|IRR_0092|2019-01-25	6.94089	5.984769
LASV|NGA|2019|IRR_0094|2019-02-18	5.889345	7.953555
LASV|NGA|2019|IRR_0097|2019-02-24	7.088923	4.799094
LASV|NGA|2019|IRR_0099|2019-03-01	7.839884	5.857344
LASV|NGA|2019|IRR_0101|2019-02-28	7.19744	5.58653
LASV|NGA|2019|IRR_0102|2019-02-28	6.197842	6.728467
LASV|NGA|2019|IRR_0103|2019-02-28	7.083333	6.283333
LASV|NGA|2019|IRR_0105|2019-02-26	7.066667	6.266667
LASV|NGA|2019|IRR_0106|2019-02-28	6.849914	5.600172
LASV|NGA|2019|IRR_0107|2019-02-26	7.083333	6.283333
LASV|NGA|2019|IRR_0112|2019-03-05	7.066667	6.266667
LASV|NGA|2019|IRR_0113|2019-03-06	7.19744	5.58653
LASV|NGA|2019|IRR_0114|2019-03-07	6.712259	6.329005
MG812652|LF11003|Human|Liberia_Bong|2011-02-20	6.98986	-9.580031
MG812654|LF11011|Human|Liberia_Bong|2011-04-14	6.99556	-9.47222
MG812662|LF16004|Human|Liberia_Bong|2016-02-26	6.99556	-9.47222
MG812664|LF16016|Human|Liberia_Nimba|2016-04-13	7.24306	-8.87194
MG812668|LF17019|Human|Liberia_Bong|2017-05-04	6.99556	-9.47222
MG812676|LF17013|Human|Liberia_Bong|2017-02-13	6.99556	-9.47222
MH887942|LASV0154-TARABA-2018|Human|Nigeria|2018-02-04	8.89369	11.35765
MH887983|LASV0190-ONDO-2018|Human|Nigeria|2018-02-15	7.19744	5.58653
LASV_NGA_2012_IRR_010_NGA-Delta_Asaba_Hs_2012-05-28	6.197842	6.728467
LASV_NGA_2013_IRR_014_NGA-Bauchi_Bauchi_Hs_2013-11-23	10.314159	9.846282
LASV_NGA_2013_IRR_016_NGA-Bauchi_Bauchi_Hs_2013-12-08	10.314159	9.846282
LASV_NGA_2013_IRR_008_NGA-Taraba_Jalingo_Hs_2013-03-06	8.89369	11.35765
LASV_NGA_2014_IRR_005_NGA-Ebonyi_Abakaliki_Hs_2014-05-14	6.333333	8.1
LASV_NGA_2014_IRR_010_NGA-Ondo_Okeluse_Hs_2014-05-17	6.784077	5.589279
LASV_NGA_2014_IRR_011_NGA-Ondo_Okeluse_Hs_2014-08-01	6.784077	5.589279
LASV_NGA_2014_IRR_012_NGA-Ondo_Ifon_Hs_2014-08-10	6.926767	5.773787
LASV_NGA_2014_IRR_002_NGA-Nassarawa_Lafia_Hs_2014-01-20	8.49575	8.52155
LASV_NGA_2015_IRR_009_NGA-Bauchi_Mbal_Hs_2015-04-25	9.595820427	9.617159843
LASV_NGA_2015_IRR_008_NGA-Bauchi_Alkaleri_Hs_2015-04-10	10.26878	10.33279
LASV_NGA_2015_IRR_014_NGA-Nassarawa_Agyaragu_Hs_2015-12-30	8.4	8.55
LASV_NGA_2015_IRR_011_NGA-Ondo_Owo_Hs_2015-09-16	7.19744	5.58653
LASV_NGA_2015_IRR_012_NGA-Ondo_Ifon_Hs_2015-11-06	6.926767	5.773787
LASV_NGA_2016_IRR_012_NGA-Bauchi_TafawaBalewa_Hs_2016-01-25	9.755908	9.553992
LASV_NGA_2016_IRR_014_NGA-Bauchi_Alkaleri_Hs_2016-01-28	10.26878	10.33279
LASV_NGA_2016_IRR_019_NGA-Bauchi_LimanKatagum_Hs_2016-01-12	10.093735	9.767931
LASV_NGA_2016_IRR_028_NGA-Bauchi_SabonGari_Hs_2016-02-29	10.675453	9.122348
LASV_NGA_2016_IRR_025_NGA-Benue_Oiji_Hs_2016-02-26	7.565864	7.917972
LASV_NGA_2016_IRR_018_NGA-Ebonyi_Ikwo_Hs_2016-02-09	6.0767	8.0701
LASV_NGA_2016_IRR_006_NGA-Ekiti_IdoEkiti_Hs_2016-01-14	7.845422	5.182916
LASV_NGA_2016_IRR_013_NGA-Imo_Owerri_Hs_2016-01-27	5.485	7.035
LASV_NGA_2016_IRR_023_NGA-Kaduna_Kaduna_Hs_2016-02-23	10.523056	7.440278
LASV_NGA_2016_IRR_016_NGA-Nassarawa_Kwarra_Hs_2016-02-06	8.325363	8.450158
LASV_NGA_2016_IRR_008_NGA-Nassarawa_Lafia_Hs_2016-01-20	8.49575	8.52155
LASV_NGA_2016_IRR_015_NGA-Nassarawa_Lafia_Hs_2016-02-03	8.49575	8.52155
LASV_NGA_2016_IRR_032_NGA-Nassarawa_Lafia_Hs_2016-03-13	8.49575	8.52155
LASV_NGA_2016_IRR_020_NGA-Nassarawa_Lafia_Hs_2016-02-15	8.49575	8.52155
LASV_NGA_2016_IRR_017_NGA-Ondo_Ifon_Hs_2016-02-06	6.926767	5.773787
LASV_NGA_2016_IRR_033_NGA-Ondo_Ondo_Hs_2016-03-14	7.088923	4.799094
LASV_NGA_2016_IRR_029_NGA-Ondo_Owo_Hs_2016-03-01	7.19744	5.58653
LASV_NGA_2016_IRR_009_NGA-Plateau_Shendam_Hs_2016-01-20	8.87931	9.53879
LASV_NGA_2016_IRR_003_NGA-Plateau_Kumbul_Hs_2016-01-04	9.383	9.133
LASV_NGA_2016_IRR_010_NGA-Taraba_Kwesati_Hs_2016-01-22	7.213958	10.183256
LASV_NGA_2016_IRR_004_NGA-Taraba_Takun_Hs_2016-01-05	7.251211	9.976395
LASV_NGA_2012_IRR_001_NGA-Taraba_Jalingo_Hs_2012-02-08	8.89369	11.35765
LASV_NGA_2012_IRR_003_NGA-Taraba_Jalingo_Hs_2012-02-10	8.89369	11.35765
LASV_NGA_2013_IRR_005_NGA-Ebonyi_Abakaliki_Hs_2013-01-25	6.333333	8.1
LASV_NGA_2013_IRR_007_NGA-Enugu_Enugu_Hs_2013-02-03	6.452667	7.510333
LASV_NGA_2013_IRR_001_NGA-Ondo_Imoru_Hs_2013-01-16	6.87224	5.75412
LASV_NGA_2013_IRR_006_NGA-Ondo_Ifon_Hs_2013-01-30	6.926767	5.773787
LASV_NGA_2014_IRR_001_NGA-Edo_NA_Hs_2014-01-25	6.75	6.221953
LASV_NGA_2016_IRR_001_NGA-Edo_NA_Hs_2016-01-04	6.75	6.221953
LASV_NGA_2016_IRR_002_NGA-Edo_NA_Hs_2016-02-15	6.75	6.221953
LASV_NGA_2017_IRR_001_NGA-Nassarawa_NA_Hs_2017-01-24	8.49575	8.52155
LASV_NGA_2017_IRR_003_NGA-Edo_NA_Hs_2017-04-03	6.75	6.221953
LASV_NGA_2017_IRR_004_NGA-Edo_Uzairue_Hs_2017	7.088383	6.290372
LASV_NGA_2017_IRR_006_NGA-Ondo_Owo_Hs_2017-01-19	7.19744	5.58653
LASV_NGA_2017_IRR_014_NGA-Ondo_Owo_Hs_2017-04-28	7.19744	5.58653
LASV_NGA_2018_IRR_001_NGA-Bauchi_LimanKatagum_Hs_2018-01-02	10.093735	9.767931
LASV_NGA_2018_IRR_006_NGA-Edo_Auchi_Hs_2018-01-09	7.066667	6.266667
LASV_NGA_2018_IRR_008_NGA-Ondo_IjebuOwo_Hs_2018-01-11	7.182869	5.581471
LASV_NGA_2018_IRR_010_NGA-Ondo_Owo_Hs_2018-01-12	7.19744	5.58653
LASV_NGA_2018_IRR_011_NGA-Ebonyi_Amauro_Hs_2018-01-13	5.967	7.867
LASV_NGA_2018_IRR_014_NGA-Ondo_Owo_Hs_2018-01-15	7.19744	5.58653
LASV_NGA_2018_IRR_015_NGA-Ondo_Owo_Hs_2018-01-16	7.19744	5.58653
LASV_NGA_2018_IRR_017_NGA-Ondo_Owo_Hs_2018-01-15	7.19744	5.58653
LASV_NGA_2018_IRR_019_NGA-Ondo_Owo_Hs_2018-01-17	7.19744	5.58653
LASV_NGA_2018_IRR_020_NGA-Ondo_Owo_Hs_2018-01-17	7.19744	5.58653
LASV_NGA_2018_IRR_021_NGA-Nassarawa_Keffi_Hs_2018-01-18	8.84538	7.87839
LASV_NGA_2018_IRR_022_NGA-Kogi_Lokoja_Hs_2018-01-17	7.80207	6.74365
LASV_NGA_2018_IRR_023_NGA-Edo_Uzebba_Hs_2018-01-18	6.997077	5.904454
LASV_NGA_2018_IRR_024_NGA-Edo_Agenegbode_Hs_2018-01-19	7.098654	6.678859
LASV_NGA_2018_IRR_025_NGA-Imo_Orlu_Hs_2018-01-19	5.79449	7.03589
LASV_NGA_2018_IRR_031_NGA-Edo_Uromi_Hs_2018-01-24	6.712259	6.329005
LASV_NGA_2018_IRR_033_NGA-Edo_Jattu_Hs_2018-01-25	7.083333	6.283333
LASV_NGA_2018_IRR_034_NGA-Ebonyi_Iboko_Hs_2018-01-25	6.556183	8.303293
LASV_NGA_2018_IRR_035_NGA-Ebonyi_Okposi-Okwa_Hs_2018-01-23	6.032415	7.850118
LASV_NGA_2018_IRR_036_NGA-Edo_Ekpoma_Hs_2018-01-26	6.75	6.133333
LASV_NGA_2018_IRR_037_NGA-Edo_Ubiaja_Hs_2018-01-26	6.659722	6.382222
LASV_NGA_2018_IRR_042_NGA-Anambra_Nzam_Hs_2018-01-29	6.452245	6.728375
LASV_NGA_2018_IRR_044_NGA-Ebonyi_AgbajaAzumili_Hs_2018-01-30	6.340038	8.129261
LASV_NGA_2018_IRR_046_NGA-Edo_Ekpoma_Hs_2018-02-05	6.75	6.133333
LASV_NGA_2018_IRR_047_NGA-Ondo_Owo_Hs_2018-02-05	7.19744	5.58653
LASV_NGA_2018_IRR_048_NGA-Ondo_Owo_Hs_2018-02-04	7.19744	5.58653
LASV_NGA_2018_IRR_050_NGA-Ondo_Ifon_Hs_2018-02-05	6.926767	5.773787
LASV_NGA_2018_IRR_051_NGA-Edo_Uromi_Hs_2018-02-06	6.712259	6.329005
LASV_NGA_2018_IRR_052_NGA-Ondo_Owo_Hs_2018-02-07	7.19744	5.58653
LASV_NGA_2018_IRR_053_NGA-Edo_Uromi_Hs_2018-02-08	6.712259	6.329005
LASV_NGA_2018_IRR_056_NGA-Ondo_Owo_Hs_2018-02-09	7.19744	5.58653
LASV_NGA_2018_IRR_057_NGA-Ondo_Owo_Hs_2018-02-09	7.19744	5.58653
LASV_NGA_2018_IRR_060_NGA-Ebonyi_Isiama_Hs_2018-02-03	6.065463	7.81309
LASV_NGA_2018_IRR_061_NGA-Ebonyi_Abakaliki_Hs_2018-02-07	6.333333	8.1
LASV_NGA_2018_IRR_063_NGA-Ebonyi_Amogwe_Hs_2018-02-07	6.1878	8.1189
LASV_NGA_2018_IRR_065_NGA-Ebonyi_Abakaliki_Hs_2018-02-10	6.333333	8.1
LASV_NGA_2018_IRR_066_NGA-Edo_Auchi_Hs_2018-02-10	7.066667	6.266667
LASV_NGA_2018_IRR_071_NGA-Ondo_Ifon_Hs_2018-02-11	6.926767	5.773787
LASV_NGA_2018_IRR_072_NGA-Ondo_Owo_Hs_2018-02-12	7.19744	5.58653
LASV_NGA_2018_IRR_073_NGA-Anambra_Ode-Nzam_Hs_2018-02-12	6.452608	6.726605
LASV_NGA_2018_IRR_074_NGA-Edo_Sobe_Hs_2018-02-12	6.850844	5.777564
LASV_NGA_2018_IRR_075_NGA-Edo_BeninCity_Hs_2018-02-12	6.333333	5.622222
LASV_NGA_2018_IRR_082_NGA-Ondo_Owo_Hs_2018-02-13	7.19744	5.58653
LASV_NGA_2018_IRR_083_NGA-Ondo_Owo_Hs_2018-02-13	7.19744	5.58653
LASV_NGA_2018_IRR_084_NGA-Ondo_Owo_Hs_2018-02-13	7.19744	5.58653
LASV_NGA_2018_IRR_085_NGA-Edo_Sabongida-Ora_Hs_2018-02-14	6.947775	5.91429
LASV_NGA_2018_IRR_086_NGA-Bauchi_Wandi_Hs_2018-02-08	9.960813	9.502202
LASV_NGA_2018_IRR_091_NGA-Edo_Afowa_Hs_2018-02-15	7.113571	6.327094
LASV_NGA_2018_IRR_092_NGA-Ondo_Owo_Hs_2018-02-15	7.19744	5.58653
LASV_NGA_2018_IRR_095_NGA-Ekiti_Ado-Ekiti_Hs_2018-02-15	7.62692	5.21561
LASV_NGA_2018_IRR_096_NGA-Delta_Asaba_Hs_2018-02-17	6.197842	6.728467
LASV_NGA_2018_IRR_099_NGA-Ebonyi_UmunwaguIdembia_Hs_2018-02-15	6.128725	8.00679
LASV_NGA_2018_IRR_101_NGA-Ebonyi_Abakaliki_Hs_2018-02-12	6.333333	8.1
LASV_NGA_2018_IRR_103_NGA-Edo_Uromi_Hs_2018-02-18	6.712259	6.329005
LASV_NGA_2018_IRR_106_NGA-Edo_Uromi_Hs_2018-02-20	6.712259	6.329005
LASV_NGA_2018_IRR_110_NGA-Edo_Iyamho_Hs_2018-02-20	7.218593	6.334514
LASV_NGA_2018_IRR_114_NGA-Edo_Ekpoma_Hs_2018-02-21	6.75	6.133333
LASV_NGA_2018_IRR_115_NGA-Delta_Asaba_Hs_2018-02-21	6.197842	6.728467
LASV_NGA_2018_IRR_117_NGA-Edo_Afuze_Hs_2018-02-24	6.94089	5.984769
LASV_NGA_2018_IRR_119_NGA-Edo_Auchi_Hs_2018-02-25	7.066667	6.266667
LASV_NGA_2018_IRR_120_NGA-Edo_Ehor_Hs_2018-02-25	6.615948	5.986347
LASV_NGA_2018_IRR_121_NGA-Edo_Uhiele_Hs_2018-02-26	6.713854	6.154398
LASV_NGA_2018_IRR_126_NGA-Ondo_Ute_Hs_2018-02-28	6.849914	5.600172
LASV_NGA_2018_IRR_131_NGA-Edo_BeninCity_Hs_2018-03-01	6.333333	5.622222
LASV_NGA_2018_IRR_135_NGA-Edo_Ekpoma_Hs_2018-03-05	6.75	6.133333
LASV_NGA_2018_IRR_137_NGA-Edo_Uromi_Hs_2018-03-08	6.712259	6.329005
LASV_NGA_2018_IRR_142_NGA-Edo_Uromi_Hs_2018-03-09	6.712259	6.329005
KF478763|Soromba-R30|Mn|NGA|2012-03-03	10.5891	-7.1558
KF478764|Ouoma-R123|Mn|NGA|2012-03	10.397222	-7.259167
MG812646|las803209|Human|Sierra_Leone|1975	7.997399	-10.950236
